xavg,yavg,zavg,xstddev,ystddev,zstddev,xabsdev,yabsdev,zabsdev,res,xzcr,yzcr,zzcr,minx,miny,minz,maxx,maxy,maxz,class,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
0.765248952,0.554999398,0.485106323,0.124166336,0.127919338,0.036055616,0.171163633,0.133391405,0.040228176,0.151775616,0,0,0,0.9724585,0.734806632,0.895932087,0.325270348,0.299783583,0.223817559,0,0,0,0,0,0,0,0,0.41015625,0.4140625,0.17578125,0,0,0.19140625,0.44921875,0.359375,0,0,0,0,0,0,0,0,0,0,0.94921875,0.05078125,0,0,0
0.753108336,0.585736746,0.515706694,0.153914291,0.126139678,0.196444031,0.190899785,0.126885075,0.129148624,0.126294235,0,0.03125,0.03125,0.917644442,0.752486183,0.84307117,0.317081747,0.384433588,0.624340572,0,0,0,0,0,0,0,0.01953125,0.40234375,0.39453125,0.18359375,0,0,0.05859375,0.5234375,0.3828125,0.03515625,0,0,0,0,0,0,0,0,0.05078125,0.72265625,0.203125,0.015625,0.00390625,0.00390625
0.790166492,0.586938077,0.462022957,0.182460421,0.102175192,0.100930964,0.236819055,0.102073483,0.076307206,0.149886429,0,0.0078125,0.0234375,0.955735173,0.739217885,0.860317062,0.347998004,0.350179831,0.3167027,0,0,0,0,0,0,0,0,0.41796875,0.3203125,0.26171875,0,0,0.04296875,0.5625,0.3828125,0.01171875,0,0,0,0,0,0,0,0,0.01953125,0.87109375,0.109375,0,0,0
0.7966058,0.571494201,0.445414782,0.205688075,0.103104874,0.073979129,0.265801852,0.106923155,0.062201235,0.170287565,0,0,0.0625,0.942274811,0.748153183,0.859531524,0.368456651,0.310994956,0.244087832,0,0,0,0,0,0,0,0,0.421875,0.30859375,0.26953125,0,0,0.0859375,0.53125,0.3828125,0,0,0,0,0,0,0,0,0,0.078125,0.8828125,0.0390625,0,0,0
0.810856501,0.563794736,0.376944708,0.213942027,0.117709682,0.044214934,0.275559714,0.117836565,0.027985347,0.191349795,0,0,0.1640625,0.978056222,0.733492287,0.754036565,0.386662313,0.323180812,0.201410569,0,0,0,0,0,0,0,0,0.40234375,0.3046875,0.29296875,0,0,0.140625,0.48046875,0.37890625,0,0,0,0,0,0,0,0,0.00390625,0.25,0.74609375,0,0,0,0
0.792139639,0.551043436,0.3655019,0.207707837,0.087414595,0.034295868,0.27165219,0.09085994,0.029912735,0.169793563,0,0,0.1875,0.990828358,0.741712716,0.810592974,0.382461014,0.29274293,0.194256757,0,0,0,0,0,0,0,0,0.4375,0.26953125,0.29296875,0,0,0.140625,0.5078125,0.3515625,0,0,0,0,0,0,0,0,0,0.3671875,0.6328125,0,0,0,0
0.793151921,0.540745547,0.377931435,0.210148779,0.102280905,0.0272948,0.273572899,0.105108185,0.022218661,0.185109595,0,0,0.1796875,0.96417349,0.735635361,0.835265229,0.341848294,0.2864434,0.20143581,0,0,0,0,0,0,0,0,0.42578125,0.296875,0.27734375,0,0,0.19140625,0.44921875,0.359375,0,0,0,0,0,0,0,0,0,0.28515625,0.71484375,0,0,0,0
0.801553702,0.537395161,0.370460901,0.205861806,0.101478524,0.026617148,0.26112441,0.109109853,0.024705747,0.20070684,0,0,0.15625,0.929744297,0.725690617,0.828432909,0.346983237,0.290519568,0.169763509,0,0,0,0,0,0,0,0.00390625,0.37109375,0.33203125,0.29296875,0,0,0.18359375,0.48828125,0.328125,0,0,0,0,0,0,0,0,0,0.34375,0.65625,0,0,0,0
0.778147081,0.542299068,0.385381477,0.212917465,0.114747284,0.057703741,0.27126184,0.116649854,0.048043414,0.165339734,0,0,0.16796875,0.938073936,0.72596686,0.826535048,0.454232647,0.283849473,0.210726348,0,0,0,0,0,0,0,0,0.43359375,0.30078125,0.265625,0,0,0.21484375,0.43359375,0.3515625,0,0,0,0,0,0,0,0,0,0.25390625,0.7421875,0.00390625,0,0,0
0.785316703,0.537081167,0.386759425,0.211078258,0.111021163,0.06145131,0.272820723,0.112649946,0.053271448,0.180841805,0,0,0.1484375,0.939184543,0.72099447,0.820461878,0.37032389,0.272362097,0.244076292,0,0,0,0,0,0,0,0,0.4140625,0.30078125,0.28515625,0,0,0.2109375,0.4453125,0.34375,0,0,0,0,0,0,0,0,0,0.29296875,0.703125,0.00390625,0,0,0
0.767311356,0.531197663,0.373747102,0.215243667,0.101732332,0.054888223,0.28286362,0.103962545,0.046002014,0.158713616,0,0,0.17578125,0.923635906,0.719540541,0.817804863,0.331111635,0.272732658,0.242398644,0,0,0,0,0,0,0,0.0078125,0.4609375,0.2734375,0.2578125,0,0,0.2265625,0.46875,0.3046875,0,0,0,0,0,0,0,0,0,0.33984375,0.65625,0.00390625,0,0,0
0.767245477,0.52923158,0.361132157,0.225311103,0.124503502,0.099956429,0.281397527,0.115149712,0.047337085,0.166746725,0,0.0078125,0.1484375,0.921969967,0.640331491,0.639025883,0.364255352,0.463941952,0.358952702,0,0,0,0,0,0,0,0.00390625,0.46484375,0.2890625,0.2421875,0,0.00390625,0.2265625,0.4609375,0.3046875,0,0.00390625,0,0,0,0,0,0.00390625,0.0078125,0.33984375,0.640625,0.00390625,0.00390625,0,0
0.766469968,0.518924207,0.348048575,0.213264094,0.103871147,0.063270772,0.273110455,0.105089182,0.050532224,0.171881097,0,0,0.1796875,0.929744297,0.709944755,0.765044191,0.370790712,0.256427985,0.228462835,0,0,0,0,0,0,0,0.01171875,0.44140625,0.29296875,0.25390625,0,0,0.25390625,0.48828125,0.2578125,0,0,0,0,0,0,0,0,0.00390625,0.51953125,0.47265625,0.00390625,0,0,0
0.788669795,0.53580995,0.347914153,0.213170852,0.105024422,0.043608414,0.272109712,0.11262061,0.033704343,0.185059431,0,0,0.20703125,0.923635906,0.723508661,0.803760657,0.37032389,0.279032184,0.187499996,0,0,0,0,0,0,0,0.00390625,0.421875,0.296875,0.27734375,0,0,0.19921875,0.48046875,0.3203125,0,0,0,0,0,0,0,0,0,0.44921875,0.55078125,0,0,0,0
0.775859349,0.522384224,0.31405745,0.190686216,0.089861003,0.051994911,0.246593692,0.092598289,0.04986958,0.180483451,0,0,0.1796875,0.950846073,0.719889504,0.724809434,0.367056186,0.281626111,0.130489867,0,0,0,0,0,0,0,0,0.43359375,0.32421875,0.2421875,0,0,0.23046875,0.52734375,0.2421875,0,0,0,0,0,0,0,0,0.00390625,0.625,0.37109375,0,0,0,0
0.755729185,0.516753468,0.329326162,0.168016819,0.08034111,0.037536275,0.22832444,0.082288703,0.036909716,0.154383371,0,0,0.1796875,0.959175706,0.72790056,0.801103639,0.339981055,0.26578828,0.161616991,0,0,0,0,0,0,0,0,0.4765625,0.30078125,0.22265625,0,0,0.21484375,0.5859375,0.19921875,0,0,0,0,0,0,0,0,0,0.57421875,0.42578125,0,0,0,0
0.76210629,0.50077859,0.331703573,0.189091354,0.091949569,0.059992282,0.23895967,0.093748476,0.049462046,0.187202761,0,0,0.17578125,0.923635906,0.717679561,0.752897842,0.352658727,0.239752752,0.20819257,0,0,0,0,0,0,0,0.0078125,0.40234375,0.375,0.21484375,0,0,0.28125,0.5859375,0.1328125,0,0,0,0,0,0,0,0,0.0078125,0.53515625,0.45703125,0,0,0,0
